Date;AveragePrice;Total Volume;4046;4225;4770;Total Bags;Small Bags;Large Bags;XLarge Bags;type;year;estado;Event;Severity;month;IPC;Event_code;type_code;estado_code;Severity_code
12/25/2016;1.52;73341.73;3202.39;58280.33;426.92;11432.09;11017.32;411.83;2.94;conventional;2016;NY;Rain;Light;12;0.021;4;0;18;1
12/25/2016;1.36;1087984.9;11329.85;713042.43;84414.47;279198.15;241335.64;36654.59;1207.92;conventional;2016;NY;Rain;Light;12;0.021;4;0;18;1
12/25/2016;1.46;46036.04;748.11;29452.82;2.26;15832.85;14866.23;966.62;0;conventional;2016;NY;Rain;Light;12;0.021;4;0;18;1
12/25/2016;1.93;1714.92;77.5;250.13;0;1387.29;1387.29;0;0;organic;2016;NY;Rain;Light;12;0.021;4;1;18;1
12/25/2016;2.17;37438.54;5592.11;15901.97;772.3;15172.16;14698.51;473.65;0;organic;2016;NY;Rain;Light;12;0.021;4;1;18;1
12/25/2016;1.69;1016.97;113.18;147.13;0;756.66;756.66;0;0;organic;2016;NY;Rain;Light;12;0.021;4;1;18;1
12/18/2016;1.53;68938.53;3345.36;55949.79;138.72;9504.66;8876.65;587.73;40.28;conventional;2016;NY;Snow;Light;12;0.021;5;0;18;1
12/18/2016;1.53;68938.53;3345.36;55949.79;138.72;9504.66;8876.65;587.73;40.28;conventional;2016;NY;Rain;Light;12;0.021;4;0;18;1
12/18/2016;1.53;68938.53;3345.36;55949.79;138.72;9504.66;8876.65;587.73;40.28;conventional;2016;NY;Rain;Moderate;12;0.021;4;0;18;2
12/18/2016;1.53;68938.53;3345.36;55949.79;138.72;9504.66;8876.65;587.73;40.28;conventional;2016;NY;Fog;Severe;12;0.021;1;0;18;4
12/18/2016;1.26;1241381.71;14178.17;954802.6;15428.57;256972.37;215851.19;39174.98;1946.2;conventional;2016;NY;Snow;Light;12;0.021;5;0;18;1
12/18/2016;1.26;1241381.71;14178.17;954802.6;15428.57;256972.37;215851.19;39174.98;1946.2;conventional;2016;NY;Rain;Light;12;0.021;4;0;18;1
12/18/2016;1.26;1241381.71;14178.17;954802.6;15428.57;256972.37;215851.19;39174.98;1946.2;conventional;2016;NY;Rain;Moderate;12;0.021;4;0;18;2
12/18/2016;1.26;1241381.71;14178.17;954802.6;15428.57;256972.37;215851.19;39174.98;1946.2;conventional;2016;NY;Fog;Severe;12;0.021;1;0;18;4
12/18/2016;1.42;42029.51;770.8;28068.62;5;13185.09;12270.19;908.23;6.67;conventional;2016;NY;Snow;Light;12;0.021;5;0;18;1
12/18/2016;1.42;42029.51;770.8;28068.62;5;13185.09;12270.19;908.23;6.67;conventional;2016;NY;Rain;Light;12;0.021;4;0;18;1
12/18/2016;1.42;42029.51;770.8;28068.62;5;13185.09;12270.19;908.23;6.67;conventional;2016;NY;Rain;Moderate;12;0.021;4;0;18;2
12/18/2016;1.42;42029.51;770.8;28068.62;5;13185.09;12270.19;908.23;6.67;conventional;2016;NY;Fog;Severe;12;0.021;1;0;18;4
12/18/2016;1.86;1472.84;111.34;198.07;0;1163.43;1163.43;0;0;organic;2016;NY;Snow;Light;12;0.021;5;1;18;1
12/18/2016;1.86;1472.84;111.34;198.07;0;1163.43;1163.43;0;0;organic;2016;NY;Rain;Light;12;0.021;4;1;18;1
12/18/2016;1.86;1472.84;111.34;198.07;0;1163.43;1163.43;0;0;organic;2016;NY;Rain;Moderate;12;0.021;4;1;18;2
12/18/2016;1.86;1472.84;111.34;198.07;0;1163.43;1163.43;0;0;organic;2016;NY;Fog;Severe;12;0.021;1;1;18;4
12/18/2016;1.99;51329.63;11645.06;22852.9;190.58;16641.09;16086.71;554.38;0;organic;2016;NY;Snow;Light;12;0.021;5;1;18;1
12/18/2016;1.99;51329.63;11645.06;22852.9;190.58;16641.09;16086.71;554.38;0;organic;2016;NY;Rain;Light;12;0.021;4;1;18;1
12/18/2016;1.99;51329.63;11645.06;22852.9;190.58;16641.09;16086.71;554.38;0;organic;2016;NY;Rain;Moderate;12;0.021;4;1;18;2
12/18/2016;1.99;51329.63;11645.06;22852.9;190.58;16641.09;16086.71;554.38;0;organic;2016;NY;Fog;Severe;12;0.021;1;1;18;4
12/18/2016;1.63;1106.24;11.28;106.56;0;988.4;988.4;0;0;organic;2016;NY;Snow;Light;12;0.021;5;1;18;1
12/18/2016;1.63;1106.24;11.28;106.56;0;988.4;988.4;0;0;organic;2016;NY;Rain;Light;12;0.021;4;1;18;1
12/18/2016;1.63;1106.24;11.28;106.56;0;988.4;988.4;0;0;organic;2016;NY;Rain;Moderate;12;0.021;4;1;18;2
12/18/2016;1.63;1106.24;11.28;106.56;0;988.4;988.4;0;0;organic;2016;NY;Fog;Severe;12;0.021;1;1;18;4
12/11/2016;1.49;71777.85;2323.39;56545.79;86.65;12822.02;12176.75;645.27;0;conventional;2016;NY;Snow;Light;12;0.021;5;0;18;1
12/11/2016;1.49;71777.85;2323.39;56545.79;86.65;12822.02;12176.75;645.27;0;conventional;2016;NY;Fog;Severe;12;0.021;1;0;18;4
12/11/2016;1.49;71777.85;2323.39;56545.79;86.65;12822.02;12176.75;645.27;0;conventional;2016;NY;Snow;Moderate;12;0.021;5;0;18;2
12/11/2016;1.49;71777.85;2323.39;56545.79;86.65;12822.02;12176.75;645.27;0;conventional;2016;NY;Fog;Moderate;12;0.021;1;0;18;2
12/11/2016;1.49;71777.85;2323.39;56545.79;86.65;12822.02;12176.75;645.27;0;conventional;2016;NY;Rain;Light;12;0.021;4;0;18;1
12/11/2016;1.32;1163696.14;10994.77;793989.54;5247.11;353464.72;247566.16;104392.33;1506.23;conventional;2016;NY;Snow;Light;12;0.021;5;0;18;1
12/11/2016;1.32;1163696.14;10994.77;793989.54;5247.11;353464.72;247566.16;104392.33;1506.23;conventional;2016;NY;Fog;Severe;12;0.021;1;0;18;4
12/11/2016;1.32;1163696.14;10994.77;793989.54;5247.11;353464.72;247566.16;104392.33;1506.23;conventional;2016;NY;Snow;Moderate;12;0.021;5;0;18;2
12/11/2016;1.32;1163696.14;10994.77;793989.54;5247.11;353464.72;247566.16;104392.33;1506.23;conventional;2016;NY;Fog;Moderate;12;0.021;1;0;18;2
12/11/2016;1.32;1163696.14;10994.77;793989.54;5247.11;353464.72;247566.16;104392.33;1506.23;conventional;2016;NY;Rain;Light;12;0.021;4;0;18;1
12/11/2016;1.5;41911.21;762.45;31386.84;15.25;9746.67;8823.89;922.78;0;conventional;2016;NY;Snow;Light;12;0.021;5;0;18;1
12/11/2016;1.5;41911.21;762.45;31386.84;15.25;9746.67;8823.89;922.78;0;conventional;2016;NY;Fog;Severe;12;0.021;1;0;18;4
12/11/2016;1.5;41911.21;762.45;31386.84;15.25;9746.67;8823.89;922.78;0;conventional;2016;NY;Snow;Moderate;12;0.021;5;0;18;2
12/11/2016;1.5;41911.21;762.45;31386.84;15.25;9746.67;8823.89;922.78;0;conventional;2016;NY;Fog;Moderate;12;0.021;1;0;18;2
12/11/2016;1.5;41911.21;762.45;31386.84;15.25;9746.67;8823.89;922.78;0;conventional;2016;NY;Rain;Light;12;0.021;4;0;18;1
12/11/2016;1.9;1886.63;42.26;156.72;0;1687.65;1687.65;0;0;organic;2016;NY;Snow;Light;12;0.021;5;1;18;1
12/11/2016;1.9;1886.63;42.26;156.72;0;1687.65;1687.65;0;0;organic;2016;NY;Fog;Severe;12;0.021;1;1;18;4
12/11/2016;1.9;1886.63;42.26;156.72;0;1687.65;1687.65;0;0;organic;2016;NY;Snow;Moderate;12;0.021;5;1;18;2
12/11/2016;1.9;1886.63;42.26;156.72;0;1687.65;1687.65;0;0;organic;2016;NY;Fog;Moderate;12;0.021;1;1;18;2
12/11/2016;1.9;1886.63;42.26;156.72;0;1687.65;1687.65;0;0;organic;2016;NY;Rain;Light;12;0.021;4;1;18;1
12/11/2016;2.22;32658.97;4690.69;13912.48;529.46;13526.34;13521.37;4.97;0;organic;2016;NY;Snow;Light;12;0.021;5;1;18;1
12/11/2016;2.22;32658.97;4690.69;13912.48;529.46;13526.34;13521.37;4.97;0;organic;2016;NY;Fog;Severe;12;0.021;1;1;18;4
12/11/2016;2.22;32658.97;4690.69;13912.48;529.46;13526.34;13521.37;4.97;0;organic;2016;NY;Snow;Moderate;12;0.021;5;1;18;2
12/11/2016;2.22;32658.97;4690.69;13912.48;529.46;13526.34;13521.37;4.97;0;organic;2016;NY;Fog;Moderate;12;0.021;1;1;18;2
12/11/2016;2.22;32658.97;4690.69;13912.48;529.46;13526.34;13521.37;4.97;0;organic;2016;NY;Rain;Light;12;0.021;4;1;18;1
12/11/2016;1.77;1584;0;171.2;0;1412.8;1391.97;20.83;0;organic;2016;NY;Snow;Light;12;0.021;5;1;18;1
12/11/2016;1.77;1584;0;171.2;0;1412.8;1391.97;20.83;0;organic;2016;NY;Fog;Severe;12;0.021;1;1;18;4
12/11/2016;1.77;1584;0;171.2;0;1412.8;1391.97;20.83;0;organic;2016;NY;Snow;Moderate;12;0.021;5;1;18;2
12/11/2016;1.77;1584;0;171.2;0;1412.8;1391.97;20.83;0;organic;2016;NY;Fog;Moderate;12;0.021;1;1;18;2
12/11/2016;1.77;1584;0;171.2;0;1412.8;1391.97;20.83;0;organic;2016;NY;Rain;Light;12;0.021;4;1;18;1
12/4/2016;1.48;113031.96;6530.78;99746.05;50.84;6704.29;6476.12;228.17;0;conventional;2016;NY;Cold;Severe;12;0.021;0;0;18;4
12/4/2016;1.52;960475.67;13893.11;696042.02;2350.43;248190.11;214068.14;33668.33;453.64;conventional;2016;NY;Cold;Severe;12;0.021;0;0;18;4
12/4/2016;1.64;50831.37;796.48;42942.66;4;7088.23;6841.52;149.49;97.22;conventional;2016;NY;Cold;Severe;12;0.021;0;0;18;4
12/4/2016;1.97;1364.73;100.01;99.17;0;1165.55;1165.55;0;0;organic;2016;NY;Cold;Severe;12;0.021;0;1;18;4
12/4/2016;2.04;45383.62;9061.96;24011.42;482.15;11828.09;11823.1;4.99;0;organic;2016;NY;Cold;Severe;12;0.021;0;1;18;4
12/4/2016;1.83;1687.32;0;186.86;0;1500.46;1471.39;29.07;0;organic;2016;NY;Cold;Severe;12;0.021;0;1;18;4
12/25/2016;0.91;502787.29;205855.78;86015.43;184.62;210731.46;118884.36;91847.1;0;conventional;2016;GA;Fog;Severe;12;0.021;1;0;5;4
12/25/2016;1.76;5456.42;895.62;2981.24;0;1579.56;0;1579.56;0;organic;2016;GA;Fog;Severe;12;0.021;1;1;5;4
12/18/2016;0.94;463483.07;191753.03;80565.05;283.15;190881.84;114872.09;76009.75;0;conventional;2016;GA;Fog;Severe;12;0.021;1;0;5;4
12/18/2016;0.94;463483.07;191753.03;80565.05;283.15;190881.84;114872.09;76009.75;0;conventional;2016;GA;Rain;Light;12;0.021;4;0;5;1
12/18/2016;1.19;9420.9;824.62;2790.3;0;5805.98;5.58;5800.4;0;organic;2016;GA;Fog;Severe;12;0.021;1;1;5;4
12/18/2016;1.19;9420.9;824.62;2790.3;0;5805.98;5.58;5800.4;0;organic;2016;GA;Rain;Light;12;0.021;4;1;5;1
12/11/2016;1.06;422026.71;186343.72;56200.04;171.64;179311.31;112574.78;66736.53;0;conventional;2016;GA;Fog;Moderate;12;0.021;1;0;5;2
12/11/2016;1.06;422026.71;186343.72;56200.04;171.64;179311.31;112574.78;66736.53;0;conventional;2016;GA;Rain;Light;12;0.021;4;0;5;1
12/11/2016;1.06;13253.78;916.64;2803.26;0;9533.88;78.11;9455.77;0;organic;2016;GA;Fog;Moderate;12;0.021;1;1;5;2
12/11/2016;1.06;13253.78;916.64;2803.26;0;9533.88;78.11;9455.77;0;organic;2016;GA;Rain;Light;12;0.021;4;1;5;1
12/4/2016;1.03;475815.02;210602.15;93414.72;207.15;171591;67806.59;103784.41;0;conventional;2016;GA;Rain;Light;12;0.021;4;0;5;1
12/4/2016;1.03;475815.02;210602.15;93414.72;207.15;171591;67806.59;103784.41;0;conventional;2016;GA;Rain;Moderate;12;0.021;4;0;5;2
